DATE(HOURS/DAY/MONTH/YEAR),ENERGY CONSUMPTION,TEMPERATURE(C),PRESSURE,HUMIDITY,WEATHER CODE,WIND DIRECTION(DEGREE),WIND SPEED(KMPH),WORKDAY,PUBLIC HOLIDAY
2021-01-31 11:00:00,1334,29,1011,14,113,85,10,0,0
2021-01-31 12:00:00,1289,32,1010,12,113,91,8,0,0
2021-01-31 13:00:00,1309,33,1009,11,113,144,7,0,0
2021-01-31 14:00:00,1306,34,1008,11,113,196,6,0,0
2021-01-31 15:00:00,1233,35,1007,10,113,248,5,0,0
2021-01-31 16:00:00,1288,35,1008,11,113,281,5,0,0
2021-01-31 17:00:00,1312,34,1008,12,113,314,4,0,0
2021-01-31 18:00:00,1298,33,1008,13,113,347,4,0,0
2021-01-31 19:00:00,1276,31,1009,14,113,284,5,0,0
2021-01-31 20:00:00,1334,30,1009,16,113,220,9,0,0
2021-01-31 21:00:00,1267,29,1010,17,113,156,7,0,0
2021-01-31 22:00:00,1258,27,1011,18,113,122,8,0,0
2021-01-31 23:00:00,1261,26,1011,19,113,87,9,0,0
2021-02-01 00:00:00,1299,24,1011,20,113,53,10,1,0
2021-02-01 01:00:00,1225,23,1011,21,113,54,10,1,0
2021-02-01 02:00:00,1307,22,1011,21,113,55,10,1,0
2021-02-01 03:00:00,1270,22,1011,22,113,56,10,1,0
2021-02-01 04:00:00,1264,21,1011,22,113,59,11,1,0
2021-02-01 05:00:00,1327,21,1011,22,113,63,11,1,0
2021-02-01 06:00:00,1299,20,1012,23,113,66,11,1,0
2021-02-01 07:00:00,1265,20,1012,21,113,74,11,1,0
2021-02-01 08:00:00,1375,21,1012,19,113,82,12,1,0
2021-02-01 09:00:00,1265,24,1012,17,113,90,12,1,0
2021-02-01 10:00:00,1246,29,1012,16,113,95,10,1,0
2021-02-01 11:00:00,1314,32,1011,14,113,101,8,1,0
2021-02-01 12:00:00,1304,33,1010,12,113,106,6,1,0
2021-02-01 13:00:00,1287,34,1009,12,116,155,6,1,0
2021-02-01 14:00:00,1317,35,1009,11,116,203,6,1,0
2021-02-01 15:00:00,1322,35,1008,11,116,252,5,1,0
2021-02-01 16:00:00,1230,35,1008,12,116,282,6,1,0
2021-02-01 17:00:00,1309,35,1008,13,113,313,6,1,0
2021-02-01 18:00:00,1230,33,1008,14,113,343,6,1,0
2021-02-01 19:00:00,1335,31,1009,15,113,288,6,1,0
2021-02-01 20:00:00,1283,30,1010,16,113,232,10,1,0
2021-02-01 21:00:00,1273,28,1011,18,113,177,6,1,0
2021-02-01 22:00:00,1329,27,1011,18,113,142,7,1,0
2021-02-01 23:00:00,1299,26,1011,18,113,107,8,1,0
2021-02-02 00:00:00,1348,25,1012,19,113,73,9,1,0
2021-02-02 01:00:00,1280,23,1011,19,113,68,9,1,0
2021-02-02 02:00:00,1247,22,1011,20,113,63,10,1,0
2021-02-02 03:00:00,1309,22,1011,21,113,59,10,1,0
2021-02-02 04:00:00,1351,21,1012,21,113,55,10,1,0
2021-02-02 05:00:00,1297,21,1012,21,113,51,11,1,0
2021-02-02 06:00:00,1269,21,1013,21,113,48,12,1,0
2021-02-02 07:00:00,1281,20,1013,20,113,58,12,1,0
2021-02-02 08:00:00,1209,22,1014,18,113,67,13,1,0
2021-02-02 09:00:00,1325,25,1014,16,113,77,13,1,0
2021-02-02 10:00:00,1288,28,1013,16,113,90,12,1,0
2021-02-02 11:00:00,1306,31,1013,15,113,103,11,1,0
2021-02-02 12:00:00,1288,34,1012,14,113,116,10,1,0
2021-02-02 13:00:00,1286,34,1011,14,113,158,8,1,0
2021-02-02 14:00:00,1263,35,1010,15,113,200,6,1,0
2021-02-02 15:00:00,1307,36,1009,15,113,242,4,1,0
2021-02-02 16:00:00,1286,36,1009,16,113,274,5,1,0
2021-02-02 17:00:00,1258,36,1009,17,113,306,5,1,0
2021-02-02 18:00:00,1281,35,1009,18,113,338,5,1,0
2021-02-02 19:00:00,1298,33,1010,18,113,280,6,1,0
2021-02-02 20:00:00,1251,32,1010,18,113,221,11,1,0
2021-02-02 21:00:00,1330,31,1011,17,113,163,11,1,0
2021-02-02 22:00:00,1284,29,1012,17,113,132,12,1,0
2021-02-02 23:00:00,1223,27,1012,17,113,100,9,1,0
2021-02-03 00:00:00,1346,26,1012,17,113,69,10,1,0
2021-02-03 01:00:00,1303,24,1012,17,113,69,11,1,0
2021-02-03 02:00:00,1326,24,1012,17,113,69,11,1,0
2021-02-03 03:00:00,1234,22,1012,18,113,69,12,1,0
2021-02-03 04:00:00,1295,22,1012,17,113,67,13,1,0
2021-02-03 05:00:00,1313,21,1012,16,113,66,14,1,0
2021-02-03 06:00:00,1305,21,1013,16,113,65,15,1,0
2021-02-03 07:00:00,1325,21,1013,14,113,66,16,1,0
2021-02-03 08:00:00,1318,22,1014,12,113,68,17,1,0
2021-02-03 09:00:00,1327,24,1014,11,113,70,18,1,0
2021-02-03 10:00:00,1331,26,1014,10,113,71,17,1,0
2021-02-03 11:00:00,1335,29,1013,8,113,73,16,1,0
2021-02-03 12:00:00,1246,31,1012,7,113,75,15,1,0
2021-02-03 13:00:00,1312,34,1011,8,113,69,14,1,0
2021-02-03 14:00:00,1335,34,1010,8,113,64,13,1,0
2021-02-03 15:00:00,1288,35,1009,8,113,58,12,1,0
2021-02-03 16:00:00,1320,34,1009,9,113,51,12,1,0
2021-02-03 17:00:00,1332,34,1009,9,113,45,13,1,0
2021-02-03 18:00:00,1257,33,1009,10,113,38,13,1,0
2021-02-03 19:00:00,1339,31,1010,11,113,40,14,1,0
2021-02-03 20:00:00,1301,29,1011,11,113,42,15,1,0
2021-02-03 21:00:00,1287,28,1011,12,113,44,15,1,0
2021-02-03 22:00:00,1288,27,1012,13,113,47,16,1,0
2021-02-03 23:00:00,1331,25,1012,14,113,51,16,1,0
2021-02-04 00:00:00,1338,24,1012,15,113,54,16,1,0
2021-02-04 01:00:00,1258,23,1012,15,113,55,16,1,0
2021-02-04 02:00:00,1301,23,1012,15,113,56,17,1,0
2021-02-04 03:00:00,1298,22,1012,15,113,57,17,1,0
2021-02-04 04:00:00,1309,22,1013,15,113,59,18,1,0
2021-02-04 05:00:00,1273,21,1013,15,113,60,18,1,0
2021-02-04 06:00:00,1297,21,1013,15,113,61,19,1,0
2021-02-04 07:00:00,1292,21,1014,14,113,62,20,1,0
2021-02-04 08:00:00,1267,22,1014,13,113,63,20,1,0
2021-02-04 09:00:00,1263,23,1015,12,113,64,21,1,0
2021-02-04 10:00:00,1324,27,1014,12,113,66,20,1,0
2021-02-04 11:00:00,1252,29,1013,11,113,67,20,1,0
2021-02-04 12:00:00,1257,31,1013,10,113,69,19,1,0
2021-02-04 13:00:00,1299,32,1012,10,113,65,17,1,0
2021-02-04 14:00:00,1290,33,1011,9,113,62,15,1,0
2021-02-04 15:00:00,1264,34,1010,9,113,59,13,1,0
2021-02-04 16:00:00,1311,34,1010,10,113,54,13,1,0
2021-02-04 17:00:00,1324,33,1010,11,113,49,13,1,0
2021-02-04 18:00:00,1319,32,1010,12,113,44,13,1,0
2021-02-04 19:00:00,1285,31,1010,13,113,45,13,1,0
2021-02-04 20:00:00,1281,29,1011,14,113,46,13,1,0
2021-02-04 21:00:00,1289,28,1012,15,113,47,14,1,0
2021-02-04 22:00:00,1285,26,1012,16,113,49,14,1,0
2021-02-04 23:00:00,1348,25,1012,17,113,52,14,1,0
2021-02-05 00:00:00,1296,24,1013,18,113,55,14,1,0
2021-02-05 01:00:00,1281,23,1012,18,113,55,15,1,0
2021-02-05 02:00:00,1369,22,1012,19,113,56,15,1,0
2021-02-05 03:00:00,1287,21,1012,19,113,57,16,1,0
2021-02-05 04:00:00,1326,21,1013,20,113,59,17,1,0
2021-02-05 05:00:00,1347,20,1013,20,113,62,17,1,0
2021-02-05 06:00:00,1295,20,1013,21,113,64,17,1,0
2021-02-05 07:00:00,1314,20,1014,20,113,64,18,1,0
2021-02-05 08:00:00,1233,21,1014,18,113,65,18,1,0
2021-02-05 09:00:00,1262,23,1015,17,113,65,19,1,0
2021-02-05 10:00:00,1315,26,1014,16,113,68,18,1,0
2021-02-05 11:00:00,1272,28,1013,14,113,71,17,1,0
2021-02-05 12:00:00,1310,30,1013,13,113,73,16,1,0
2021-02-05 13:00:00,1294,33,1011,12,113,69,15,1,0
2021-02-05 14:00:00,1289,34,1010,11,113,65,13,1,0
2021-02-05 15:00:00,1312,34,1009,11,113,61,12,1,0
2021-02-05 16:00:00,1342,34,1009,12,113,54,12,1,0
2021-02-05 17:00:00,1321,34,1009,13,113,48,13,1,0
2021-02-05 18:00:00,1283,33,1009,14,113,42,13,1,0
2021-02-05 19:00:00,1306,31,1010,16,113,43,14,1,0
2021-02-05 20:00:00,1235,30,1011,17,113,45,14,1,0
2021-02-05 21:00:00,1269,29,1011,18,113,46,15,1,0
2021-02-05 22:00:00,1241,27,1012,18,113,48,16,1,0
2021-02-05 23:00:00,1334,25,1012,19,113,50,17,1,0
2021-02-06 00:00:00,1281,24,1012,20,113,53,18,0,0
2021-02-06 01:00:00,1283,23,1012,21,113,53,18,0,0
2021-02-06 02:00:00,1362,23,1012,22,113,54,17,0,0
2021-02-06 03:00:00,1297,22,1013,23,113,55,17,0,0
2021-02-06 04:00:00,1305,21,1013,23,113,58,17,0,0
2021-02-06 05:00:00,1315,21,1013,24,113,61,17,0,0
2021-02-06 06:00:00,1297,20,1014,24,113,63,17,0,0
2021-02-06 07:00:00,1279,20,1014,23,113,66,17,0,0
2021-02-06 08:00:00,1269,21,1014,21,113,69,17,0,0
2021-02-06 09:00:00,1310,23,1015,19,113,72,17,0,0
2021-02-06 10:00:00,1329,25,1014,17,113,74,16,0,0
2021-02-06 11:00:00,1332,28,1013,16,113,76,15,0,0
2021-02-06 12:00:00,1299,30,1013,14,113,79,14,0,0
2021-02-06 13:00:00,1255,32,1012,13,113,68,12,0,0
2021-02-06 14:00:00,1352,33,1011,13,113,57,11,0,0
2021-02-06 15:00:00,1298,34,1009,12,113,46,9,0,0
2021-02-06 16:00:00,1251,34,1009,13,113,38,9,0,0
2021-02-06 17:00:00,1303,34,1009,14,113,30,9,0,0
2021-02-06 18:00:00,1316,32,1009,15,113,22,9,0,0
2021-02-06 19:00:00,1279,31,1009,17,113,31,10,0,0
2021-02-06 20:00:00,1299,29,1010,18,113,39,11,0,0
2021-02-06 21:00:00,1327,28,1011,20,113,47,12,0,0
2021-02-06 22:00:00,1340,26,1011,21,113,50,12,0,0
2021-02-06 23:00:00,1294,25,1011,22,113,53,12,0,0
2021-02-07 00:00:00,1324,23,1012,23,113,56,13,0,0
2021-02-07 01:00:00,1280,22,1012,23,113,57,13,0,0
2021-02-07 02:00:00,1291,22,1011,24,113,57,13,0,0
2021-02-07 03:00:00,1263,21,1011,25,113,58,13,0,0
2021-02-07 04:00:00,1294,20,1012,24,113,59,13,0,0
2021-02-07 05:00:00,1263,20,1012,24,113,60,13,0,0
2021-02-07 06:00:00,1301,20,1012,24,113,61,13,0,0
2021-02-07 07:00:00,1265,20,1013,22,113,60,14,0,0
2021-02-07 08:00:00,1293,21,1013,20,113,60,14,0,0
2021-02-07 09:00:00,1275,23,1013,17,113,60,14,0,0
2021-02-07 10:00:00,1309,26,1012,16,113,65,13,0,0
2021-02-07 11:00:00,1274,29,1012,14,113,69,11,0,0
2021-02-07 12:00:00,1345,32,1011,13,113,74,10,0,0
2021-02-07 13:00:00,1258,34,1010,12,113,132,8,0,0
2021-02-07 14:00:00,1282,35,1009,12,113,191,7,0,0
2021-02-07 15:00:00,1311,36,1008,11,113,249,5,0,0
2021-02-07 16:00:00,1283,36,1008,12,113,209,5,0,0
2021-02-07 17:00:00,1327,35,1008,13,113,169,4,0,0
2021-02-07 18:00:00,1319,34,1007,14,113,129,4,0,0
2021-02-07 19:00:00,1295,33,1008,15,113,98,5,0,0
2021-02-07 20:00:00,1276,31,1009,16,113,68,6,0,0
2021-02-07 21:00:00,1259,30,1010,18,113,38,8,0,0
2021-02-07 22:00:00,1236,28,1010,18,113,43,9,0,0
2021-02-07 23:00:00,1280,25,1010,18,113,49,10,0,0
2021-02-08 00:00:00,1282,23,1011,18,113,55,12,1,0
2021-02-08 01:00:00,1378,22,1011,18,113,56,12,1,0
2021-02-08 02:00:00,1274,21,1010,19,113,58,12,1,0
2021-02-08 03:00:00,1320,21,1010,20,113,60,12,1,0
2021-02-08 04:00:00,1257,19,1011,20,113,57,12,1,0
2021-02-08 05:00:00,1295,19,1011,20,113,54,12,1,0
2021-02-08 06:00:00,1226,18,1011,20,113,52,12,1,0
2021-02-08 07:00:00,1302,19,1011,19,113,55,13,1,0
2021-02-08 08:00:00,1241,21,1012,17,113,59,14,1,0
2021-02-08 09:00:00,1290,24,1012,16,113,63,14,1,0
2021-02-08 10:00:00,1325,27,1011,14,113,73,13,1,0
2021-02-08 11:00:00,1256,30,1011,12,113,83,11,1,0
2021-02-08 12:00:00,1325,33,1010,11,113,92,9,1,0
2021-02-08 13:00:00,1286,35,1009,10,113,129,7,1,0
2021-02-08 14:00:00,1284,36,1008,9,113,166,5,1,0
2021-02-08 15:00:00,1298,37,1007,9,113,203,3,1,0
2021-02-08 16:00:00,1338,36,1007,10,113,191,3,1,0
2021-02-08 17:00:00,1255,36,1007,11,113,180,3,1,0
2021-02-08 18:00:00,1286,35,1007,11,113,168,3,1,0
2021-02-08 19:00:00,1281,33,1008,13,113,139,4,1,0
2021-02-08 20:00:00,1357,31,1009,14,113,111,6,1,0
2021-02-08 21:00:00,1302,30,1010,15,113,82,8,1,0
2021-02-08 22:00:00,1269,28,1010,15,113,75,9,1,0
2021-02-08 23:00:00,1289,25,1011,16,113,68,9,1,0
2021-02-09 00:00:00,1290,23,1011,16,113,60,10,1,0
2021-02-09 01:00:00,1290,23,1011,16,113,60,11,1,0
2021-02-09 02:00:00,1209,22,1011,16,113,59,12,1,0
2021-02-09 03:00:00,1370,20,1011,16,113,59,12,1,0
2021-02-09 04:00:00,1291,20,1011,16,113,59,13,1,0
2021-02-09 05:00:00,1292,20,1012,16,113,58,15,1,0
2021-02-09 06:00:00,1263,20,1012,16,113,58,16,1,0
2021-02-09 07:00:00,1313,20,1012,15,113,63,17,1,0
2021-02-09 08:00:00,1371,22,1012,14,113,69,17,1,0
2021-02-09 09:00:00,1345,24,1013,13,113,74,18,1,0
2021-02-09 10:00:00,1316,28,1012,12,113,83,16,1,0
2021-02-09 11:00:00,1295,31,1011,11,113,92,14,1,0
2021-02-09 12:00:00,1270,32,1011,10,113,101,12,1,0
2021-02-09 13:00:00,1235,34,1010,10,113,89,10,1,0
2021-02-09 14:00:00,1297,35,1009,10,113,78,8,1,0
2021-02-09 15:00:00,1242,37,1008,9,113,67,6,1,0
2021-02-09 16:00:00,1283,36,1008,10,113,49,6,1,0
2021-02-09 17:00:00,1305,36,1008,11,113,32,6,1,0
2021-02-09 18:00:00,1308,35,1008,12,113,15,6,1,0
2021-02-09 19:00:00,1243,34,1009,13,113,27,6,1,0
2021-02-09 20:00:00,1249,32,1010,14,113,38,7,1,0
2021-02-09 21:00:00,1294,31,1010,15,113,49,8,1,0
2021-02-09 22:00:00,1307,29,1011,15,113,59,8,1,0
2021-02-09 23:00:00,1285,27,1011,15,113,69,9,1,0
2021-02-10 00:00:00,1333,25,1011,16,113,79,10,1,0
2021-02-10 01:00:00,1287,24,1011,16,113,79,10,1,0
2021-02-10 02:00:00,1305,23,1011,16,113,78,10,1,0
2021-02-10 03:00:00,1319,22,1011,17,113,77,10,1,0
2021-02-10 04:00:00,1312,22,1011,17,113,75,10,1,0
2021-02-10 05:00:00,1320,21,1011,17,113,72,10,1,0
2021-02-10 06:00:00,1287,21,1012,18,113,70,10,1,0
2021-02-10 07:00:00,1330,21,1012,16,113,79,11,1,0
2021-02-10 08:00:00,1325,23,1012,15,113,89,11,1,0
2021-02-10 09:00:00,1232,25,1013,14,113,99,12,1,0
2021-02-10 10:00:00,1279,29,1012,12,113,110,11,1,0
2021-02-10 11:00:00,1248,32,1012,11,113,121,14,1,0
2021-02-10 12:00:00,1332,34,1011,10,113,132,13,1,0
2021-02-10 13:00:00,1254,35,1010,10,113,184,11,1,0
2021-02-10 14:00:00,1334,36,1009,10,113,235,9,1,0
2021-02-10 15:00:00,1294,37,1008,9,113,286,7,1,0
2021-02-10 16:00:00,1316,37,1008,10,113,311,8,1,0
2021-02-10 17:00:00,1319,37,1008,11,113,335,9,1,0
2021-02-10 18:00:00,1231,36,1008,12,113,359,8,1,0
2021-02-10 19:00:00,1322,34,1009,13,113,292,9,1,0
2021-02-10 20:00:00,1307,33,1010,13,113,226,9,1,0
2021-02-10 21:00:00,1299,31,1010,14,113,159,9,1,0
2021-02-10 22:00:00,1229,29,1011,14,113,129,7,1,0
2021-02-10 23:00:00,1325,27,1011,14,113,99,8,1,0
2021-02-11 00:00:00,1299,25,1011,15,113,69,10,1,0
2021-02-11 01:00:00,1321,24,1011,15,113,66,11,1,0
2021-02-11 02:00:00,1307,23,1011,15,113,64,11,1,0
2021-02-11 03:00:00,1255,21,1011,15,113,61,12,1,0
2021-02-11 04:00:00,1272,21,1011,15,113,63,13,1,0
2021-02-11 05:00:00,1278,20,1011,15,113,64,13,1,0
2021-02-11 06:00:00,1332,20,1012,15,113,65,14,1,0
2021-02-11 07:00:00,1260,20,1012,13,113,67,15,1,0
2021-02-11 08:00:00,1317,22,1012,12,113,69,16,1,0
2021-02-11 09:00:00,1313,24,1013,11,113,71,17,1,0
2021-02-11 10:00:00,1327,27,1012,10,113,76,16,1,0
2021-02-11 11:00:00,1269,30,1011,9,113,81,14,1,0
2021-02-11 12:00:00,1303,32,1011,8,113,87,12,1,0
2021-02-11 13:00:00,1291,34,1010,8,113,70,10,1,0
2021-02-11 14:00:00,1367,35,1009,8,113,54,8,1,0
2021-02-11 15:00:00,1333,36,1008,8,113,37,6,1,0
2021-02-11 16:00:00,1244,36,1008,9,113,27,6,1,0
2021-02-11 17:00:00,1346,36,1008,10,113,17,7,1,0
2021-02-11 18:00:00,1376,35,1008,11,113,7,7,1,0
2021-02-11 19:00:00,1346,33,1008,12,113,20,8,1,0
2021-02-11 20:00:00,1298,32,1009,13,113,33,9,1,0
2021-02-11 21:00:00,1237,30,1010,13,113,47,10,1,0
2021-02-11 22:00:00,1327,28,1010,14,113,52,10,1,0
2021-02-11 23:00:00,1331,26,1011,14,113,57,11,1,0
2021-02-12 00:00:00,1333,24,1011,15,113,63,12,1,0
2021-02-12 01:00:00,1256,23,1011,15,113,64,12,1,0
2021-02-12 02:00:00,1296,22,1011,16,113,66,12,1,0
2021-02-12 03:00:00,1339,21,1011,16,113,68,12,1,0
2021-02-12 04:00:00,1324,20,1011,16,113,69,12,1,0
2021-02-12 05:00:00,1219,20,1011,16,113,70,12,1,0
2021-02-12 06:00:00,1322,20,1012,16,113,71,13,1,0
2021-02-12 07:00:00,1258,20,1012,15,113,73,14,1,0
2021-02-12 08:00:00,1335,22,1012,14,113,76,15,1,0
2021-02-12 09:00:00,1275,24,1013,12,113,78,16,1,0
2021-02-12 10:00:00,1274,27,1012,11,113,80,14,1,0
2021-02-12 11:00:00,1294,30,1011,10,113,82,13,1,0
2021-02-12 12:00:00,1312,32,1011,9,113,84,12,1,0
2021-02-12 13:00:00,1262,34,1010,8,113,67,10,1,0
2021-02-12 14:00:00,1315,35,1009,8,113,50,8,1,0
2021-02-12 15:00:00,1345,36,1008,8,113,33,6,1,0
2021-02-12 16:00:00,1323,36,1007,8,113,103,6,1,0
2021-02-12 17:00:00,1261,36,1007,9,113,172,6,1,0
2021-02-12 18:00:00,1278,35,1007,10,113,242,6,1,0
2021-02-12 19:00:00,1288,33,1008,11,113,213,7,1,0
2021-02-12 20:00:00,1341,32,1009,12,113,185,8,1,0
2021-02-12 21:00:00,1300,30,1010,13,113,156,9,1,0
2021-02-12 22:00:00,1307,28,1010,13,113,126,10,1,0
2021-02-12 23:00:00,1244,26,1010,13,113,97,11,1,0
2021-02-13 00:00:00,1287,24,1010,13,113,67,12,0,0
2021-02-13 01:00:00,1314,23,1010,14,113,67,12,0,0
2021-02-13 02:00:00,1330,22,1010,14,113,66,12,0,0
2021-02-13 03:00:00,1285,21,1010,15,113,66,12,0,0
2021-02-13 04:00:00,1301,21,1010,16,113,66,12,0,0
2021-02-13 05:00:00,1243,20,1010,16,113,66,12,0,0
2021-02-13 06:00:00,1247,20,1010,17,113,66,13,0,0
2021-02-13 07:00:00,1258,20,1010,15,113,67,14,0,0
2021-02-13 08:00:00,1288,22,1011,14,113,69,15,0,0
2021-02-13 09:00:00,1277,25,1011,13,113,70,17,0,0
2021-02-13 10:00:00,1338,29,1011,12,113,76,15,0,0
2021-02-13 11:00:00,1279,31,1010,10,113,83,14,0,0
2021-02-13 12:00:00,1271,33,1010,9,113,89,12,0,0
2021-02-13 13:00:00,1343,34,1009,8,113,149,10,0,0
2021-02-13 14:00:00,1319,36,1008,8,113,208,7,0,0
2021-02-13 15:00:00,1280,37,1007,7,113,268,5,0,0
2021-02-13 16:00:00,1323,37,1007,8,113,297,5,0,0
2021-02-13 17:00:00,1289,36,1007,9,113,327,5,0,0
2021-02-13 18:00:00,1325,36,1007,9,113,356,4,0,0
2021-02-13 19:00:00,1313,34,1007,10,113,291,5,0,0
2021-02-13 20:00:00,1309,32,1008,11,113,226,6,0,0
2021-02-13 21:00:00,1298,31,1009,12,113,161,7,0,0
2021-02-13 22:00:00,1281,29,1009,13,113,129,8,0,0
2021-02-13 23:00:00,1276,27,1009,13,113,98,9,0,0
2021-02-14 00:00:00,1284,25,1010,13,113,66,10,0,0
2021-02-14 01:00:00,1267,23,1009,14,113,66,10,0,0
2021-02-14 02:00:00,1324,22,1009,14,113,66,10,0,0
2021-02-14 03:00:00,1296,21,1009,15,113,66,10,0,0
2021-02-14 04:00:00,1313,21,1009,16,113,66,10,0,0
2021-02-14 05:00:00,1289,21,1010,16,113,65,11,0,0
2021-02-14 06:00:00,1293,20,1010,17,113,64,11,0,0
2021-02-14 07:00:00,1277,20,1010,16,113,72,11,0,0
